question;a;b;c;answer;file;level;points;category;box
 Czy w tej sytuacji naleøy rozpoczπÊ hamowanie?;;;;T;D24_20org.wmv;0;2;A,B,C,D,T,AM,A1,A2,B1,C1,D1;W15
Czy w trakcie prowadzenia pojazdu, wraz z up≥ywem czasu, poprawia siÍ Twoja zdolnoúÊ dostrzegania znakÛw i sygna≥Ûw drogowych?;;;;N;IMG_9599org.jpg;0;2;B;W20
Kierujesz pojazdem z prÍdkoúciπ 30 km/h. Czy w tej sytuacji powinieneú zatrzymaÊ pojazd przed sygnalizatorem?;;;;T;AK_D18_07org.wmv;0;3;A,B,C,D,T,AM,A1,A2,B1,C1,D1;W8
Czy gdy prowadzisz w stanie pobudzenia emocjonalnego, to maleje Twoja zdolnoúÊ koncentracji uwagi?;;;;T;GND30__4_org.wmv;0;2;B;W20
Jedziesz drogπ z pierwszeÒstwem. Czy w tej sytuacji, w razie potrzeby, naleøy powstrzymaÊ siÍ od dalszej jazdy?;;;;T;GMD29_2_org.wmv;0;2;A,B,C,D,T,AM,A1,A2,B1,C1,D1;W15
Zamierzasz skrÍciÊ w lewo. Czy masz obowiπzek ustπpiÊ pierwszeÒstwa pojazdowi nadjeødøajπcemu z prawej strony?;;;;N;513_D27KW_org.wmv;0;3;A,B,C,D,T,AM,A1,A2,B1,C1,D1;W7
Zamierzasz jechaÊ na wprost. Czy masz obowiπzek ustπpiÊ pierwszeÒstwa pojazdowi nadjeødøajπcemu z prawej strony?;;;;T;514_D27KW_org.wmv;0;3;A,B,C,D,T,AM,A1,A2,B1,C1,D1;W7
Zamierzasz jechaÊ na wprost. Czy masz pierwszeÒstwo przed motocyklistπ?;;;;N;KW_D22_419_org.wmv;0;3;A,B,C,D,T,AM,A1,A2,B1,C1,D1;W7
Czy umieszczony na tablicy znak ostrzega CiÍ o miejscu na drodze, w ktÛrym wystÍpuje lub moøe wystÍpowaÊ niebezpieczeÒstwo?;;;;T;3436D15org.jpg;0;2;A,B,C,D,T,AM,A1,A2,B1,C1,D1;W1
Czy w przedstawionej sytuacji masz obowiπzek zachowaÊ szczegÛlnπ ostroønoúÊ?;;;;T;D20_0061org.jpg;0;2;A,B,C,D,A1,A2,B1,C1,D1;W1
Czy w przedstawionej sytuacji jesteú ostrzegany o zbliøaniu siÍ do skrzyøowania z jednokierunkowπ drogπ podporzπdkowanπ?;;;;T;A-6eorg.jpg;0;2;A,B,C,D,T,AM,A1,A2,B1,C1,D1;W1
Czy tabliczka umieszczona pod znakiem wskazuje rzeczywisty przebieg drogi z pierwszeÒstwem przejazdu?;;;;T;IMG_4003org.jpg;0;2;A,B,C,D,T,AM,A1,A2,B1,C1,D1;W1
Czy w przedstawionej sytuacji jesteú ostrzegany o zbliøaniu siÍ do przejazdu kolejowego wyposaøonego w zapory, lub w pÛ≥zapory?;;;;T;0876D18org.jpg;0;2;A,B,C,D,T,AM,A1,A2,B1,C1,D1;W1
Czy w przedstawionej sytuacji jesteú ostrzegany o przejeüdzie kolejowym wyposaøonym w zapory lub pÛ≥zapory?;;;;N;A-10 (2)org.jpg;0;2;A,B,C,D,T,AM,A1,A2,B1,C1,D1;W1
Czy w przedstawionej sytuacji jesteú ostrzegany o przejeüdzie kolejowym wyposaøonym w pÛ≥zapory?;;;;N;1070D18org.jpg;0;2;A,B,C,D,T,AM,A1,A2,B1,C1,D1;W1
Czy w przedstawionej sytuacji jesteú ostrzegany o poprzecznej nierÛwnoúci jezdni?;;;;T;IMG_9274d8org.jpg;0;2;A,B,C,D,T,AM,A1,A2,B1,C1,D1;W1
Czy w przedstawionej sytuacji jesteú ostrzegany o nierÛwnoúciach na drodze, wystÍpujπcych na odcinku 1,2 km za znakiem?;;;;T;IMG_9528d8org.jpg;0;2;A,B,C,D,T,AM,A1,A2,B1,C1,D1;W1
Czy w przedstawionej sytuacji jesteú ostrzegany o wypuk≥oúci jezdni zastosowanej w celu spowolnienia ruchu?;;;;N;IMG_9274d8org.jpg;0;2;A,B,C,D,T,AM,A1,A2,B1,C1,D1;W1
Czy w przedstawionej sytuacji jesteú ostrzegany o wypuk≥oúci na jezdni zastosowanej w celu spowolnienia ruchu?;;;;T;IMG_8384org.jpg;0;2;A,B,C,D,T,AM,A1,A2,B1,C1,D1;W1
Czy umieszczona pod znakiem ostrzegawczym widocznym na zdjÍciu tabliczka, wskazuje jego odleg≥oúÊ od miejsca niebezpiecznego?;;;;T;IMG_8384org.jpg;0;2;A,B,C,D,T,AM,A1,A2,B1,C1,D1;W1
Czy w przedstawionej sytuacji jesteú ostrzegany o zwÍøeniu jezdni, ktÛre moøe powodowaÊ utrudnienia ruchu?;;;;T;IMG_0816d8org.jpg;0;2;A,B,C,D,T,AM,A1,A2,B1,C1,D1;W1
Czy w przedstawionej sytuacji jesteú ostrzegany o wlocie drogi z prawej strony?;;;;N;IMG_6630d8org.jpg;0;2;A,B,C,D,T,AM,A1,A2,B1,C1,D1;W1
Czy w przedstawionej sytuacji naleøy spodziewaÊ siÍ utrudnieÒ ruchu?;;;;T;IMG_7184_1org.jpg;0;2;A,B,C,D,T,AM,A1,A2,B1,C1,D1;W1
Czy w przedstawionej sytuacji jesteú ostrzegany o zbliøaniu siÍ do wyznaczonego na drodze przejúcia dla pieszych?;;;;T;843D15org.jpg;0;2;A,B,C,D,T,AM,A1,A2,B1,C1,D1;W1
Czy w przedstawionej sytuacji jesteú ostrzegany o miejscu na drodze szczegÛlnie czÍsto uczÍszczanym przez dzieci lub o bliskoúci takiego miejsca?;;;;T;A-17 (2)org.jpg;0;2;A,B,C,D,T,AM,A1,A2,B1,C1,D1;W1
Czy w przedstawionej sytuacji jesteú ostrzegany o moøliwoúci napotkania na drodze zwierzπt gospodarskich?;;;;T;IMG_1101d8org.jpg;0;2;A,B,C,D,T,AM,A1,A2,B1,C1,D1;W1
Czy w przedstawionej sytuacji jesteú ostrzegany o moøliwoúci napotkania na drodze dzikich zwierzπt?;;;;T;JAZDA NOC•org.wmv;0;2;A,B,C,D,T,AM,A1,A2,B1,C1,D1;W1
Czy w przedstawionej sytuacji jesteú ostrzegany o zbliøaniu siÍ do miejsca, w ktÛrym rozpoczyna siÍ ruch dwukierunkowy?;;;;T;1498D15org.jpg;0;2;A,B,C,D,T,AM,A1,A2,B1,C1,D1;W1
Czy w przedstawionej sytuacji jesteú ostrzegany o zbliøaniu siÍ do stromego podjazdu?;;;;N;0805D14MMorg.jpg;0;2;A,B,C,D,T,AM,A1,A2,B1,C1,D1;W1
Czy w przedstawionej sytuacji jesteú ostrzegany o miejscu, w ktÛrym rowerzyúci wjeødøajπ na jezdniÍ lub przez niπ przejeødøajπ?;;;;T;0989D18org.jpg;0;2;A,B,C,D,T,AM,A1,A2,B1,C1,D1;W1
Czy w przedstawionej sytuacji jesteú ostrzegany o drodze pokrytej øwirem, ktÛry moøe byÊ wyrzucany spod kÛ≥ jadπcych pojazdÛw?;;;;T;IMG_9333d8org.jpg;0;2;A,B,C,D,T,AM,A1,A2,B1,C1,D1;W1
Czy w przedstawionej sytuacji jesteú ostrzegany o skrzyøowaniu, na ktÛrym ruch jest kierowany za pomocπ sygnalizacji úwietlnej?;;;;T;IMG_9157d8org.jpg;0;2;A,B,C,D,T,AM,A1,A2,B1,C1,D1;W1
Czy w przedstawionej sytuacji, wjeødøajπc na pobocze, powinieneú zrobiÊ to ostroønie i znacznie zmniejszyÊ prÍdkoúÊ?;;;;T;IMG_1387d8org.jpg;0;2;A,B,C,D,T,AM,A1,A2,B1,C1,D1;W1
Czy na odcinku drogi za widocznym znakiem bÍdziesz ostrzegany o kaødym wystÍpujπcym na niej zakrÍcie?;;;;N;IMG_7630d8org.jpg;0;2;A,B,C,D,T,AM,A1,A2,B1,C1,D1;W1
Czy w tej sytuacji czerwone punktowe elementy odblaskowe wyznaczajπ prawπ krawÍdü jezdni?;;;;T;IMG_9751org.jpg;0;1;A,B,C,D,T,AM,A1,A2,B1,C1,D1;W4
Czy w tej sytuacji, za liniπ z≥oøonπ z punktowych elementÛw odblaskowych barwy czerwonej znajduje siÍ pas ruchu?;;;;N;IMG_9757aorg.jpg;0;1;A,B,C,D,T,AM,A1,A2,B1,C1,D1;W4
Czy w tej sytuacji, bezpoúrednio za widocznπ po prawej stronie drogi liniπ z≥oøonπ z punktowych elementÛw odblaskowych barwy bia≥ej jest pobocze?;;;;N;IMG_9746org.jpg;0;1;A,B,C,D,T,AM,A1,A2,B1,C1,D1;W4
Czy w tej sytuacji, umieszczone po prawej stronie jezdni punktowe elementy odblaskowe barwy bia≥ej informujπ CiÍ o krawÍdzi jezdni?;;;;N;IMG_9746org.jpg;0;1;A,B,C,D,T,AM,A1,A2,B1,C1,D1;W4
Czy w przedstawionej sytuacji masz obowiπzek zachowaÊ odstÍp nie mniejszy niø 1 metr od wyprzedzanego rowerzysty?;;;;T;D17PWCz_1org.wmv;0;3;A,B,C,D,T,AM,A1,A2,B1,C1,D1;W12
Czy na tak oznakowanym skrzyøowaniu masz prawo wyprzedzaÊ pojazdy poruszajπce siÍ innymi pasami?;;;;T;D29WCzorg.wmv;0;3;A,B,C,D,T,AM,A1,A2,B1,C1,D1;W12
Czy w tej sytuacji moøesz wyprzedzaÊ?;;;;N;D38WCz_2org.wmv;0;3;B;W12
Czy w przedstawionej sytuacji zakaz wyraøony znakiem obowiπzuje od miejsca jego ustawienia?;;;;T;526D21org.jpg;0;3;A,B,C,D,T,AM,A1,A2,B1,C1,D1;W2
Czy umieszczona pod tym znakiem zakazu tabliczka okreúla d≥ugoúÊ odcinka jezdni, na ktÛrym zakaz ten obowiπzuje?;;;;T;1005D15org.jpg;0;3;A,B,C,D,T,AM,A1,A2,B1,C1,D1;W2
Czy w tej sytuacji masz obowiπzek ustπpiÊ pierwszeÒstwa pojazdowi nadjeødøajπcemu z lewej strony?;;;;T;511_D27KW_org.wmv;0;3;A,B,C,D,T,AM,A1,A2,B1,C1,D1;W7
Zamierzasz kontynuowaÊ jazdÍ na wprost. Czy masz pierwszeÒstwo przed pojazdem nadjeødøajπcym z prawej strony?;;;;N;518_D27KW_org.wmv;0;3;A,B,C,D,T,AM,A1,A2,B1,C1,D1;W6
Czy w tej sytuacji masz obowiπzek ustπpiÊ pierwszeÒstwa pojazdowi, ktÛry nadjeødøa z lewej strony?;;;;T;KW_D16_354org.wmv;0;3;A,B,C,D,T,AM,A1,A2,B1,C1,D1;W6
Czy w tej sytuacji masz pierwszeÒstwo przed pojazdem wjeødøajπcym z lewej strony na pas ruchu?;;;;N;KW_D16_355org.wmv;0;3;A,B,C,D,T,AM,A1,A2,B1,C1,D1;W6
Zamierzasz skrÍciÊ w prawo. Czy masz obowiπzek ustπpienia pierwszeÒstwa pojazdowi, ktÛry nadjeødøa z lewej strony?;;;;N;KW_D16_352org.wmv;0;3;A,B,C,D,T,AM,A1,A2,B1,C1,D1;W6
Zamierzasz skrÍciÊ w lewo. Czy masz obowiπzek ustπpiÊ pierwszeÒstwa rowerzyúcie?;;;;T;KW_D16_253org.wmv;0;3;A,B,C,D,T,AM,A1,A2,B1,C1,D1;W6
Czy w tej sytuacji, jadπc na wprost, masz pierwszeÒstwo przed pojazdem nadjeødøajπcym z prawej strony?;;;;T;KW_D16_357org.wmv;0;3;A,B,C,D,T,AM,A1,A2,B1,C1,D1;W6
Czy w tej sytuacji naleøy zrezygnowaÊ z rozpoczÍcia wyprzedzania?;;;;T;D26_395org.jpg;0;3;A,B,C,D,T,AM,A1,A2,B1,C1,D1;W12
Czy w przedstawionej sytuacji w obszarze zabudowanym, masz obowiπzek zmniejszyÊ prÍdkoúÊ, aby umoøliwiÊ kierujπcemu autobusem w≥πczenie siÍ do ruchu?;;;;T;705.D34KWorg.wmv;0;3;A,B,C,D,T,AM,A1,A2,B1,C1,D1;W6
SkrÍcasz w lewo na najbliøszym skrzyøowaniu. Czy masz pierwszeÒstwo przed nadjeødøajπcym pojazdem?;;;;N;706.D34KWorg.wmv;0;3;A,B,C,D,T,AM,A1,A2,B1,C1,D1;W6
Czy kierujπc autobusem komunikacji miejskiej na obszarze zabudowanym, powinieneú upewniÊ siÍ, øe wyjazd z zatoki nie spowoduje zagroøenia bezpieczeÒstwa ruchu drogowego?;;;;T;717.D35KWorg.wmv;0;3;D,D1;W6
Czy kierujπc autobusem komunikacji miejskiej poza obszarem zabudowanym masz pierwszeÒstwo podczas w≥πczania siÍ do ruchu z przystanku?;;;;N;717.D35KWorg.wmv;0;3;D,D1;W6
Czy w tej sytuacji, jadπc na wprost, jesteú w≥πczajπcym siÍ do ruchu?;;;;T;D42_8org.wmv;0;3;A,B,C,D,T,AM,A1,A2,B1,C1,D1;W6
Czy masz pierwszeÒstwo przed pojazdem nadjeødøajπcym z lewej strony?;;;;N;537.D28KW_org.wmv;0;3;A,B,C,D,T,AM,A1,A2,B1,C1,D1;W7
Czy w tej sytuacji zachowanie pieszego wymaga, abyú uøy≥ sygna≥u düwiÍkowego?;;;;N;538.D28KW_org.wmv;0;1;A,B,C,D,T,AM,A1,A2,B1,C1,D1;W14
Zamierzasz skrÍciÊ w lewo. Czy w tej sytuacji masz pierwszeÒstwo przed pojazdem nadjeødøajπcym z prawej strony?;;;;N;540.D28KW_org.wmv;0;3;A,B,C,D,T,AM,A1,A2,B1,C1,D1;W6
Czy masz obowiπzek ustπpiÊ pierwszeÒstwa pojazdowi szynowemu, ktÛry wyjeødøa z pÍtli?;;;;N;544.D28KW_org.wmv;0;3;A,B,C,D,T,AM,A1,A2,B1,C1,D1;W6
Zamierzasz jechaÊ na wprost, a kierujπcy tramwajem planuje skrÍciÊ w lewo. Czy masz przed nim pierwszeÒstwo?;;;;N;546.D28KW_org.wmv;0;3;A,B,C,D,T,AM,A1,A2,B1,C1,D1;W7
Zamierzasz skrÍciÊ w lewo. Czy masz obowiπzek ustπpiÊ pierwszeÒstwa pojazdowi nadjeødøajπcemu z prawej strony?;;;;T;607.D29org.wmv;0;3;A,B,C,D,T,AM,A1,A2,B1,C1,D1;W7
Kierujesz pojazdem na obszarze zabudowanym. Czy w tej sytuacji uøycie sygna≥u düwiÍkowego jest zabronione?;;;;N;610.D29GMorg.wmv;0;1;A,B,C,D,T,AM,A1,A2,B1,C1,D1;W14
Zamierzasz jechaÊ na wprost. Czy masz pierwszeÒstwo przed pojazdem szynowym skrÍcajπcym w prawo do zajezdni ?;;;;N;614.D29GMorg.wmv;0;3;A,B,C,D,T,AM,A1,A2,B1,C1,D1;W6
Zamierzasz wjechaÊ na drogÍ twardπ skrÍcajπc w prawo. Czy masz pierwszeÒstwo przed pojazdem nadjeødøajπcym z lewej strony?;;;;N;627.D33_2org.wmv;0;3;A,B,C,D,T,AM,A1,A2,B1,C1,D1;W6
Zamierzasz jechaÊ na wprost. Czy masz obowiπzek ustπpiÊ pierwszeÒstwa pojazdowi nadjeødøajπcemu z lewej strony?;;;;T;774. RONDO_12org.wmv;0;3;A,B,C,D,T,AM,A1,A2,B1,C1,D1;W7
Zamierzasz skrÍciÊ w lewo. Czy masz pierwszeÒstwo przed pojazdem szynowym nadjeødøajπcym z przeciwka?;;;;N;635.D33_org.wmv;0;3;A,B,C,D,T,AM,A1,A2,B1,C1,D1;W6
Zamierzasz skrÍciÊ w prawo. Czy masz obowiπzek ustπpiÊ pierwszeÒstwa pojazdowi nadjeødøajπcemu z lewej strony?;;;;T;636.D33org.wmv;0;3;A,B,C,D,T,AM,A1,A2,B1,C1,D1;W7
